Gene name,Ensembl ID,lead SNP,Trait,Other Traits GWAS significant in meta-analysis,chr,Variant_posa,Entrez ID,Biotype,Distanceb,<500kbpc,GWAS Hitd,All_evidencee,MostSevereConsequencef,PPC_Gene_MODERATEandHIGHg,EO_OAh,"bone diseases, developmentali",Coloc_Tissuesj,Piccolo_Tissuesk,MetaXcan_Tissuesl,Animal_Skeletonm,Prot_logFCn,Prot_FDRo,RNASeq_logFCp,RNASeq_FDRq,msh_Mendelr
CACNA2D2,ENSG00000007402,rs62262139,OA,NA,3,50022049,9254,protein_coding,-519626,0,11,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal vertebral column morphology; short vertebral body,NA,NA,NA,NA,NA
CISH,ENSG00000114737,rs62262139,OA,NA,3,50022049,1154,protein_coding,-627213,0,11,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.372712839,0.024970289,bacteremia|tuberculosis|malaria
RRP9,ENSG00000114767,rs3774355,OA_hip,OA_kneehip,3,52817778,9136,protein_coding,841821,0,12,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.311065933,0.005029584,NA
PCBP4,ENSG00000090097,rs3774355,OA_hip,OA_kneehip,3,52817778,57060,protein_coding,809746,0,12,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.29738351,0.022633751,NA
ABHD14A,ENSG00000248487,rs3774355,OA_hip,OA_kneehip,3,52817778,25864,protein_coding,802563,0,12,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,increased rib number; increased sacral vertebrae number,NA,NA,NA,NA,NA
ABHD14B,ENSG00000114779,rs3774355,OA_hip,OA_kneehip,3,52817778,84836,protein_coding,800353,0,12,_DEGProt_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,-0.431567212,0.000147007,0.262281305,0.00494394,NA
ABHD14A-ACY1,ENSG00000114786,rs3774355,OA_hip,OA_kneehip,3,52817778,100526760,protein_coding,794579,0,12,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.529337318,0.010858008,NA
RPL29,ENSG00000162244,rs3774355,OA_hip,OA_kneehip,3,52817778,6159,protein_coding,787820,0,12,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,delayed bone ossification,NA,NA,NA,NA,NA
POC1A,ENSG00000164087,rs3774355,OA_hip,OA_kneehip,3,52817778,25886,protein_coding,629072,0,12,_BoneDis_Animal-skeletal_,NA,NA,NA,yes,-,-,-,decreased long bone epiphyseal plate size; decreased length of long bones; abnormal long bone epiphyseal plate proliferative zone; abnormal long bone epiphyseal plate morphology; short lumbar vertebrae,NA,NA,NA,NA,"bone diseases, developmental|bone diseases, developmental"
TWF2,ENSG00000247596,rs3774355,OA_hip,OA_kneehip,3,52817778,11344,protein_coding,544502,0,12,_DEGProt_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,0.189830737,0.001720365,0.204003719,0.027248415,0
PPM1M,ENSG00000164088,rs3774355,OA_hip,OA_kneehip,3,52817778,132160,protein_coding,533165,0,12,_MetaXcan_DEGmRNA,NA,NA,NA,NA,-,-,gtex7_brain_anterior_cingulate_cortex_ba24;gtex7_brain_cerebellar_hemisphere;gtex7_heart_left_ventricle,NA,NA,NA,0.267823614,0.001966086,0
WDR82,ENSG00000164091,rs3774355,OA_hip,OA_kneehip,3,52817778,80335,protein_coding,495742,1,12,_piccolo_,NA,NA,NA,NA,-,Mono-naive,-,NA,NA,NA,NA,NA,0
GLYCTK,ENSG00000168237,rs3774355,OA_hip,OA_kneehip,3,52817778,132158,protein_coding,490286,1,12,_piccolo_MetaXcan_,NA,NA,NA,NA,-,gtex7_colon_transverse,gtex7_colon_transverse,NA,NA,NA,NA,NA,"carbohydrate metabolism, inborn errors|carbohydrate metabolism, inborn errors"
RP11-168J18.6,ENSG00000239557,rs3774355,OA_hip,OA_kneehip,3,52817778,NA,processed_pseudogene,408880,1,12,_MetaXcan_,NA,NA,NA,NA,-,-,gtex7_esophagus_mucosa,NA,NA,NA,NA,NA,NA
PHF7,ENSG00000010318,rs3774355,OA_hip,OA_kneehip,3,52817778,51533,protein_coding,360121,1,12,_MetaXcan_,NA,NA,NA,NA,-,-,gtex7_cells_transformed_fibroblasts,NA,NA,NA,NA,NA,NA
NISCH,ENSG00000010322,rs3774355,OA_hip,OA_kneehip,3,52817778,11188,protein_coding,290691,1,12,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal maxilla morphology; abnormal middle ear ossicle morphology; abnormal cranium morphology,NA,NA,NA,NA,0
NT5DC2,ENSG00000168268,rs3774355,OA_hip,OA_kneehip,3,52817778,64943,protein_coding,248708,1,12,_coloc_piccolo_MetaXcan_,NA,NA,NA,NA,gtex7_lung,gtex7_esophagus_gastroesophageal_junction,gtex7_heart_left_ventricle;gtex7_thyroid,NA,NA,NA,NA,NA,0
PBRM1,ENSG00000163939,rs3774355,OA_hip,OA_kneehip,3,52817778,55193,protein_coding,97845,1,12,_piccolo_,NA,NA,NA,NA,-,CD4-meta-cis,-,NA,NA,NA,NA,NA,"carcinoma, renal cell"
GNL3,ENSG00000163938,rs3774355,OA_hip,OA_kneehip,3,52817778,26354,protein_coding,89270,1,12,_coloc_piccolo_MetaXcan_DEGmRNA,NA,NA,NA,NA,gtex7_cells_ebvtransformed_lymphocytes;gtex7_breast_mammary_tissue,Macro-naive;Macro-naive,gtex7_artery_aorta;gtex7_artery_tibial;gtex7_brain_cerebellum;gtex7_breast_mammary_tissue;gtex7_cells_transformed_fibroblasts;gtex7_esophagus_muscularis;gtex7_pituitary;gtex7_testis,NA,NA,NA,-0.271356854,0.000721906,0
GLT8D1,ENSG00000016864,rs3774355,OA_hip,OA_kneehip,3,52817778,55830,protein_coding,77730,1,12,_coloc_piccolo_,NA,NA,NA,NA,gtex7_brain_frontal_cortex_ba9,gtex7_whole_blood;iPSC,-,NA,NA,NA,NA,NA,0
SPCS1,ENSG00000114902,rs3774355,OA_hip,OA_kneehip,3,52817778,28972,protein_coding,72616,1,12,_piccolo_,NA,NA,NA,NA,-,gtex7_cells_transformed_fibroblasts;gtex7_whole_blood;iPSC;liver,-,NA,NA,NA,NA,NA,NA
RP5-966M1.5,ENSG00000270941,rs3774355,OA_hip,OA_kneehip,3,52817778,NA,processed_pseudogene,48749,1,12,_coloc_,NA,NA,NA,NA,gtex7_brain_cerebellar_hemisphere,-,-,NA,NA,NA,NA,NA,NA
NEK4,ENSG00000114904,rs3774355,OA_hip,OA_kneehip,3,52817778,6787,protein_coding,12813,1,12,_piccolo_MetaXcan_,NA,NA,NA,NA,-,gtex7_heart_atrial_appendage;gtex7_adipose_visceral_omentum;gtex7_skin_sun_exposed_lower_leg;gtex7_thyroid;gtex7_nerve_tibial;gtex7_adipose_subcutaneous;gtex7_muscle_skeletal;gtex7_cells_transformed_fibroblasts,gtex7_adipose_subcutaneous;gtex7_breast_mammary_tissue;gtex7_colon_sigmoid;gtex7_esophagus_mucosa;gtex7_pancreas;gtex7_prostate;gtex7_skin_not_sun_exposed_suprapubic;gtex7_skin_sun_exposed_lower_leg;gtex7_thyroid,NA,NA,NA,NA,NA,0
ITIH1,ENSG00000055957,rs3774355,OA_hip,OA_kneehip,3,52817778,3697,protein_coding,0,1,12,Missense_piccolo_,missense_variant,0.07189044,NA,NA,-,gtex7_nerve_tibial;Serum-cis-pQTL,-,NA,NA,NA,NA,NA,0
ITIH3,ENSG00000162267,rs3774355,OA_hip,OA_kneehip,3,52817778,3699,protein_coding,-25247,1,12,_piccolo_,NA,NA,NA,NA,-,HLC,-,NA,NA,NA,NA,NA,0
ITIH4,ENSG00000055955,rs3774355,OA_hip,OA_kneehip,3,52817778,3700,protein_coding,-47717,1,12,_piccolo_MetaXcan_DEGmRNA,NA,NA,NA,NA,-,gtex7_small_intestine_terminal_ileum,gtex7_adipose_subcutaneous;gtex7_adipose_visceral_omentum;gtex7_artery_tibial;gtex7_brain_anterior_cingulate_cortex_ba24;gtex7_brain_caudate_basal_ganglia;gtex7_brain_hippocampus;gtex7_cells_transformed_fibroblasts;gtex7_muscle_skeletal;gtex7_skin_not_sun_exposed_suprapubic;gtex7_whole_blood,NA,NA,NA,0.452555164,0.005051483,0
MUSTN1,ENSG00000272573,rs3774355,OA_hip,OA_kneehip,3,52817778,389125,protein_coding,-51457,1,12,_piccolo_MetaXcan_,NA,NA,NA,NA,-,gtex7_cells_transformed_fibroblasts;Mono-IFN,gtex7_whole_blood,NA,NA,NA,NA,NA,0
SFMBT1,ENSG00000163935,rs3774355,OA_hip,OA_kneehip,3,52817778,51460,protein_coding,-262988,1,12,_MetaXcan_DEGmRNA,NA,NA,NA,NA,-,-,gtex7_pituitary,NA,NA,NA,0.156725099,0.015544689,0
PRKCD,ENSG00000163932,rs3774355,OA_hip,OA_kneehip,3,52817778,5580,protein_coding,-408955,1,12,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal osteoblast differentiation; decreased width of hypertrophic chondrocyte zone; abnormal bone ossification,NA,NA,NA,NA,"autoimmune lymphoproliferative syndrome|lupus erythematosus, systemic|common variable immunodeficiency|autoimmune lymphoproliferative syndrome"
TKT,ENSG00000163931,rs3774355,OA_hip,OA_kneehip,3,52817778,7086,protein_coding,-472290,1,12,_BoneDis_,NA,NA,NA,yes,-,-,-,NA,NA,NA,NA,NA,"bone diseases, developmental"
IDUA,ENSG00000127415,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,3425,protein_coding,705950,0,13,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal joint morphology; abnormal zygomatic arch morphology; increased diameter of femur; abnormal long bone diaphysis morphology; abnormal basicranium morphology; kyphosis; increased cranium width; abnormal axial skeleton morphology; abnormal cervical vertebrae morphology; abnormal mandibular condyloid process morphology; abnormal vertebrae morphology; abnormal long bone morphology; abnormal incisor morphology; abnormal chondrocyte morphology; abnormal rib morphology; increased bone mineral density; increased osteoblast cell number; spiral ligament degeneration; abnormal long bone hypertrophic chondrocyte zone; abnormal foramen magnum morphology; abnormal zygomatic bone morphology; abnormal tibia morphology; short femur,NA,NA,NA,NA,mucopolysaccharidosis i|mucopolysaccharidosis i|mucopolysaccharidosis i|mucopolysaccharidosis i|mucopolysaccharidosis i|mucopolysaccharidosis i
FGFRL1,ENSG00000127418,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,53834,protein_coding,683559,0,13,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,thin neurocranium; abnormal sphenoid bone morphology; abnormal hyoid bone morphology; short sternum; small basisphenoid bone; mandible hypoplasia; abnormal appendicular skeleton morphology; decreased hyoid bone size; axial skeleton hypoplasia; small basioccipital bone; domed cranium; abnormal occipital bone morphology; fusion of basioccipital and basisphenoid bone; abnormal skeleton morphology; abnormal cervical atlas morphology; abnormal sternum ossification; abnormal vertebrae morphology; abnormal neurocranium morphology; abnormal pelvic girdle bone morphology; decreased length of long bones; abnormal foramen magnum morphology; delayed cranial suture closure; abnormal cervical vertebrae morphology; abnormal thyroid cartilage morphology; abnormal cricoid cartilage morphology; decreased long bone epiphyseal plate size; small thoracic cage; small cranium,NA,NA,NA,NA,0
RNF212,ENSG00000178222,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,285498,protein_coding,596894,0,13,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.382551623,0.002680068,"recombination, genetic"
CTBP1,ENSG00000159692,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,1487,protein_coding,460503,1,13,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal vertebrae development; abnormal spine curvature; abnormal rib morphology,NA,NA,NA,NA,0
UVSSA,ENSG00000163945,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,"28,546,457,654",protein_coding,314464,1,13,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.199907149,0.002704619,photosensitivity disorders|photosensitivity disorders
RP11-1398P2.1,ENSG00000244459,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,NA,lincRNA,122264,1,13,_coloc_,NA,NA,NA,NA,gtex7_skin_sun_exposed_lower_leg;gtex7_cells_ebvtransformed_lymphocytes;gtex7_muscle_skeletal;gtex7_pancreas,-,-,NA,NA,NA,NA,NA,NA
FAM53A,ENSG00000174137,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,152877,protein_coding,18215,1,13,_coloc_piccolo_MetaXcan_,NA,NA,NA,NA,gtex7_thyroid;gtex7_skin_sun_exposed_lower_leg;gtex7_colon_transverse;gtex7_spleen;gtex7_cells_ebvtransformed_lymphocytes;gtex7_skin_not_sun_exposed_suprapubic;gtex7_stomach;gtex7_liver;gtex7_lung;gtex7_muscle_skeletal;gtex7_pancreas;gtex7_small_intestine_terminal_ileum;gtex7_esophagus_mucosa;gtex7_adipose_subcutaneous;gtex7_cells_transformed_fibroblasts;gtex7_whole_blood,gtex7_testis;gtex7_skin_sun_exposed_lower_leg;gtex7_cells_ebvtransformed_lymphocytes;gtex7_esophagus_mucosa;gtex7_lung;gtex7_colon_transverse;gtex7_nerve_tibial;gtex7_adipose_subcutaneous;gtex7_cells_transformed_fibroblasts;gtex7_pancreas;gtex7_whole_blood;Mono-IFN;Mono-mdp-6h;Mono-LPS-24h;Mono-rna-6h;gtex7_whole_blood;PBMC-naive;PBMC-rv;Dendritic-naive;Dendritic-MTB;Mono-re-rna-6h;Liver;Mono-LPS-6h;PBMC-re-rv;Mono-naive;Mono-naive;wb,gtex7_muscle_skeletal;gtex7_nerve_tibial;gtex7_testis;gtex7_whole_blood,NA,NA,NA,NA,NA,0
SLBP,ENSG00000163950,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,7884,protein_coding,0,1,13,Missense_,sequence_feature,0.1046999,NA,NA,-,-,-,NA,NA,NA,NA,NA,0
RP11-572O17.1,ENSG00000270195,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,NA,lincRNA,-11105,1,13,_coloc_,NA,NA,NA,NA,gtex7_breast_mammary_tissue,-,-,NA,NA,NA,NA,NA,NA
TMEM129,ENSG00000168936,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,92305,protein_coding,-18841,1,13,_coloc_piccolo_,NA,NA,NA,NA,gtex7_brain_putamen_basal_ganglia,Mono-naive,-,NA,NA,NA,NA,NA,0
TACC3,ENSG00000013810,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,10460,protein_coding,-42659,1,13,_coloc_piccolo_Animal-skeletal_,NA,NA,NA,NA,gtex7_thyroid;gtex7_brain_cerebellum;gtex7_brain_amygdala;gtex7_colon_transverse;gtex7_testis;gtex7_brain_nucleus_accumbens_basal_ganglia;gtex7_brain_cerebellar_hemisphere;gtex7_lung;gtex7_adipose_subcutaneous;gtex7_brain_putamen_basal_ganglia;gtex7_heart_atrial_appendage,gtex7_thyroid;gtex7_lung;gtex7_adipose_subcutaneous;gtex7_pancreas;Mono-IFN;Mono-LPS-2h;Macro-Listeria;Macro-naive,-,absent caudal vertebrae; abnormal bone ossification; abnormal vertebral arch morphology; abnormal axial skeleton morphology; lumbar vertebral fusion; abnormal neurocranium morphology; abnormal cartilage morphology; abnormal sacral vertebrae morphology; abnormal cartilage development,NA,NA,NA,NA,gliosarcoma|glioblastoma
FGFR3,ENSG00000068078,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,2261,protein_coding,-106355,1,13,_BoneDis_coloc_piccolo_MetaXcan_Animal-skeletal_,NA,NA,NA,yes,gtex7_breast_mammary_tissue;gtex7_stomach;gtex7_nerve_tibial;gtex7_heart_atrial_appendage,gtex7_adipose_visceral_omentum;gtex7_esophagus_muscularis;gtex7_esophagus_gastroesophageal_junction;gtex7_artery_aorta;gtex7_heart_left_ventricle;gtex7_nerve_tibial;gtex7_adipose_subcutaneous;gtex7_muscle_skeletal,gtex7_stomach,short vertebral body; premature cranial synchondrosis closure; long ulna; short vertebral column; elongated vertebral body; abnormal thoracic cage morphology; small interparietal bone; abnormal intramembranous bone ossification; abnormal bone ossification; short ulna; abnormal rib morphology; decreased bone mineral density; abnormal coronal suture morphology; bowed humerus; abnormal humerus morphology; abnormal occipital bone morphology; abnormal vertebral epiphyseal plate morphology; synostosis; wide sternum; decreased chondrocyte number; thin frontal bone; small occipital bone; abnormal incus morphology; abnormal neurocranium morphology; short basicranium; bowed radius; abnormal long bone hypertrophic chondrocyte zone; abnormal zygomatic bone morphology; abnormal stapes morphology; abnormal palatine bone horizontal plate morphology; abnormal tibia morphology; abnormal long bone epiphyseal plate morphology; abnormal premaxilla morphology; abnormal long bone epiphysis morphology; abnormal epiphyseal plate morphology; abnormal spine curvature; abnormal hyaline cartilage morphology; abnormal long bone diaphysis morphology; foramen magnum stenosis; abnormal femur morphology; short lumbar vertebrae; decreased cranium height; short radius; delayed bone ossification; increased long bone epiphyseal plate size; long incisors; decreased compact bone thickness; disorganized long bone epiphyseal plate; long tibia; abnormal axial skeleton morphology; malocclusion; abnormal cervical vertebrae morphology; enlarged vertebral body; abnormal endochondral bone ossification; prognathia; abnormal sternum ossification; abnormal vertebrae morphology; abnormal long bone morphology; abnormal costal cartilage morphology; increased hyoid bone size; short frontal bone; abnormal thoracic cage shape; enlarged interparietal bone; increased osteoclast cell number; bowed tibia; abnormal sagittal suture morphology; thin parietal bone; abnormal foramen magnum morphology; abnormal trabecular bone morphology; abnormal chondrocyte physiology; long radius; short ribs; short nasal bone; increased diameter of femur; abnormal long bone metaphysis morphology; kyphoscoliosis; abnormal craniofacial bone morphology; abnormal synchondrosis; domed cranium; abnormal cranial suture morphology; increased cranium width; small presphenoid bone; long humerus; abnormal lambdoid suture morphology; abnormal skeleton morphology; maxillary retrognathia; abnormal skeleton development; abnormal cranium morphology; abnormal ulna morphology; bowed fibula; abnormal chondrocyte morphology; delayed endochondral bone ossification; bowed ulna; decreased length of long bones; premature endochondral bone ossification; abnormal osteoclast physiology; scoliosis; short femur; small thoracic cage; increased bone ossification; failure of sternum ossification; abnormal long bone epiphyseal ossification zone morphology; abnormal malleus morphology; short tibia; abnormal chondrocyte proliferation; abnormal temporal bone morphology; abnormal fibula morphology; abnormal osteoblast physiology; abnormal bone structure; increased diameter of long bones; abnormal middle ear ossicle morphology; kyphosis; increased chondrocyte proliferation; long femur; small vertebrae; short humerus; increased width of hypertrophic chondrocyte zone; vertebral compression; misaligned incisors; abnormal long bone epiphyseal plate proliferative zone; abnormal chondrocyte differentiation; enhanced osteoblast differentiation; small caudal vertebrae; decreased chondrocyte proliferation; bowed femur; abnormal maxilla morphology; abnormal maxillary zygomatic process morphology; abnormal parietal bone morphology; abnormal thoracic vertebrae morphology; decreased long bone epiphyseal plate size; abnormal bone mineralization; decreased width of hypertrophic chondrocyte zone,NA,NA,NA,NA,"thanatophoric dysplasia|syndactyly|glioblastoma|craniosynostoses|achondroplasia|achondroplasia|bone diseases, developmental|acrocephalosyndactylia|craniofacial dysostosis|bone diseases, developmental|uterine cervical neoplasms|dwarfism|neoplasms, germ cell and embryonal|syndactyly|achondroplasia|thanatophoric dysplasia|craniosynostoses|thanatophoric dysplasia|craniosynostoses|thanatophoric dysplasia|craniofacial dysostosis|thanatophoric dysplasia|dwarfism|gliosarcoma|craniosynostoses|urinary bladder neoplasms|urinary bladder neoplasms"
LETM1,ENSG00000168924,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,3954,protein_coding,-153730,1,13,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.21084547,0.026180145,wolf-hirschhorn syndrome
NSD2,ENSG00000109685,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,7468,protein_coding,-279690,1,13,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,malocclusion; abnormal sternum ossification; failure of sternum ossification,NA,NA,NA,NA,NA
POLN,ENSG00000130997,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,353497,protein_coding,-539604,0,13,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.327980007,0.010457095,0
ZFYVE28,ENSG00000159733,rs11732213,OA_kneehip,OA;OA_hip,4,1704244,57732,protein_coding,-716146,0,13,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,decreased bone mineral density; increased bone mineral density,NA,NA,NA,NA,0
RAB28,ENSG00000157869,rs1913707,OA_hip,OA,4,13039440,9364,protein_coding,-446549,1,14,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.13314507,0.044219932,retinitis pigmentosa|retinitis pigmentosa
NKX3-2,ENSG00000109705,rs1913707,OA_hip,OA,4,13039440,579,protein_coding,-507234,0,14,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal supraoccipital bone morphology; abnormal basioccipital bone morphology; abnormal malleus morphology; absent arcus anterior; abnormal sclerotome morphology; small basisphenoid bone; vertebral body hypoplasia; abnormal vertebral arch morphology; abnormal craniofacial bone morphology; absent gonial bone; abnormal neurocranium morphology; axial skeleton hypoplasia; absent basioccipital bone; small basioccipital bone; abnormal basicranium morphology; abnormal bone ossification; abnormal vertebrae development; absent supraoccipital bone; abnormal hyoid bone body morphology; absent vertebral body; absent intervertebral disk; abnormal axial skeleton morphology; abnormal lumbar vertebrae morphology; small vertebrae; vertebral compression; abnormal cartilage morphology; abnormal cervical vertebrae morphology; abnormal cervical atlas morphology; abnormal vertebral body development; abnormal vertebrae morphology; basioccipital bone hypoplasia; abnormal middle ear ossicle morphology; absent ventral tubercle of atlas; abnormal intervertebral disk morphology; small caudal vertebrae; abnormal cranium morphology; basisphenoid bone hypoplasia; small exoccipital bone; abnormal cervical axis morphology; abnormal basisphenoid bone morphology; gonial bone hypoplasia; abnormal rib morphology; abnormal vertebral column morphology; short vertebral column; abnormal vertebral arch development; abnormal skeleton morphology; absent basisphenoid bone; abnormal thoracic vertebrae morphology; abnormal exoccipital bone morphology; abnormal cartilage development; abnormal vertebral body morphology; abnormal odontoid process morphology,NA,NA,NA,NA,osteochondrodysplasias|osteochondrodysplasias
DHX15,ENSG00000109606,rs34811474,OA,NA,4,25408838,1665,protein_coding,822665,0,15,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.171497549,0.001800857,0
HNRNPA1P65,ENSG00000248444,rs34811474,OA,NA,4,25408838,NA,processed_pseudogene,634796,0,15,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.624849736,0.012395962,NA
SOD3,ENSG00000109610,rs34811474,OA,NA,4,25408838,6649,protein_coding,606374,0,15,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,increased susceptibility to induced arthritis; arthritis,NA,NA,NA,NA,0
CCDC149,ENSG00000181982,rs34811474,OA,NA,4,25408838,91050,protein_coding,427012,1,15,_piccolo_,NA,NA,NA,NA,-,gtex7_esophagus_muscularis,-,NA,NA,NA,NA,NA,0
ZCCHC4,ENSG00000168228,rs34811474,OA,NA,4,25408838,29063,protein_coding,36833,1,15,_coloc_,NA,NA,NA,NA,gtex7_adrenal_gland,-,-,NA,NA,NA,NA,NA,NA
ANAPC4,ENSG00000053900,rs34811474,OA,NA,4,25408838,29945,protein_coding,0,1,15,Missense_,missense_variant,0.958013578,NA,NA,-,-,-,NA,NA,NA,NA,NA,NA
SEL1L3,ENSG00000091490,rs34811474,OA,NA,4,25408838,23231,protein_coding,-456544,1,15,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.708193936,8.27E-05,0
PPP3CA,ENSG00000138814,rs13107325,OA,NA,4,103188709,5530,protein_coding,919274,0,16,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,-0.228805602,0.009261919,0
SLC39A8,ENSG00000138821,rs13107325,OA,NA,4,103188709,64116,protein_coding,0,1,16,Missense_Animal-skeletal_DEGmRNA,missense_variant,0.998633028,NA,NA,-,-,-,decreased rib number,NA,NA,0.522230378,5.80E-05,congenital disorders of glycosylation
NFKB1,ENSG00000109320,rs13107325,OA,NA,4,103188709,4790,protein_coding,-349750,1,16,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal osteoclast differentiation; decreased length of long bones; osteopetrosis; abnormal long bone morphology; decreased osteoclast cell number; abnormal bone marrow cavity morphology; abnormal long bone epiphyseal plate morphology; failure of tooth eruption; abnormal bone structure,NA,NA,NA,NA,common variable immunodeficiency|common variable immunodeficiency
UBE2D3,ENSG00000109332,rs13107325,OA,NA,4,103188709,7323,protein_coding,-601344,0,16,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,decreased bone mineral content,NA,NA,NA,NA,0
CISD2,ENSG00000145354,rs13107325,OA,NA,4,103188709,493856,protein_coding,-625255,0,16,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal bone mineralization; kyphosis; lordosis; decreased trabecular bone thickness; decreased bone mineral density,NA,NA,NA,NA,"hearing loss, sensorineural|wolfram syndrome"
BDH2,ENSG00000164039,rs13107325,OA,NA,4,103188709,56898,protein_coding,-832331,0,16,_DEGProt_,NA,NA,NA,NA,-,-,-,NA,-0.347295756,0.017156696,NA,NA,0
CTD-2179L22.1,ENSG00000253558,rs35611929,OA_knee,NA,5,77467824,NA,transcribed_processed_pseudogene,127862,1,17,_coloc_,NA,NA,NA,NA,gtex7_adipose_visceral_omentum;gtex7_brain_cerebellum;gtex7_spleen;gtex7_nerve_tibial;gtex7_breast_mammary_tissue;gtex7_uterus;gtex7_skin_sun_exposed_lower_leg;gtex7_testis;gtex7_cells_transformed_fibroblasts;gtex7_cells_ebvtransformed_lymphocytes;gtex7_esophagus_mucosa,-,-,NA,NA,NA,NA,NA,NA
AP3B1,ENSG00000132842,rs35611929,OA_knee,NA,5,77467824,8546,protein_coding,0,1,17,_coloc_DEGmRNA,NA,NA,NA,NA,gtex7_adipose_visceral_omentum;gtex7_brain_cerebellum;gtex7_colon_transverse;gtex7_muscle_skeletal;gtex7_adrenal_gland,-,-,NA,NA,NA,-0.108833985,0.028876968,hermanski-pudlak syndrome|hermanski-pudlak syndrome
ARSB,ENSG00000113273,rs35611929,OA_knee,NA,5,77467824,411,protein_coding,-814086,0,17,_Animal-skeletal_DEGmRNA,NA,NA,NA,NA,-,-,-,abnormal pelvic girdle bone morphology; decreased length of long bones; abnormal articular cartilage morphology; disorganized long bone epiphyseal plate; increased cranium width; increased long bone epiphyseal plate size; abnormal cartilage morphology; abnormal tracheal cartilage morphology; abnormal rib morphology; increased bone mineral density; short maxilla,NA,NA,-0.258671324,0.008827504,mucopolysaccharidosis vi|mucopolysaccharidosis vi|mucopolysaccharidosis vi
BHMT2,ENSG00000132840,rs35611929,OA_knee,NA,5,77467824,23743,protein_coding,-917465,0,17,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.727837256,0.000656657,0
BHMT,ENSG00000145692,rs35611929,OA_knee,NA,5,77467824,635,protein_coding,-960289,0,17,_Animal-skeletal_,NA,NA,NA,NA,-,-,-,abnormal bone structure,NA,NA,NA,NA,0
DMGDH,ENSG00000132837,rs35611929,OA_knee,NA,5,77467824,29958,protein_coding,-1064037,0,17,_DEGmRNA,NA,NA,NA,NA,-,-,-,NA,NA,NA,0.541771411,0.00075482,"amino acid metabolism, inborn errors|amino acid metabolism, inborn errors"
