geneid	chr	s1	s2
ENSG00000112592	chr6	170554302	170572870
ENSG00000112624	chr6	42746958	42868560
ENSG00000112640	chr6	42984499	43012342
ENSG00000112651	chr6	43054029	43059806
ENSG00000112655	chr6	43076268	43161719
ENSG00000112658	chr6	43171299	43181507
ENSG00000112659	chr6	43182175	43224587
ENSG00000112667	chr6	43225629	43229484
ENSG00000112679	chr6	291630	351355
ENSG00000112685	chr6	485133	693111
ENSG00000112695	chr6	75237675	75250323
ENSG00000112697	chr6	75252924	75284968
ENSG00000112701	chr6	75601509	75718278
ENSG00000112715	chr6	43770184	43786487
ENSG00000112739	chr6	4021267	4064983
ENSG00000112759	chr6	44219505	44234151
ENSG00000112763	chr6	26457904	26476621
ENSG00000112773	chr6	81491439	81752774
ENSG00000112787	chr12	132489551	132585188
ENSG00000112837	chr6	84687351	84764519
ENSG00000112851	chr5	65926475	66082549
ENSG00000112852	chr5	141094578	141098703
ENSG00000112855	chr5	140691426	140699318
ENSG00000112874	chr5	103548855	103562793
ENSG00000112893	chr5	109689366	109869625
ENSG00000112902	chr5	9035026	9546075
ENSG00000112941	chr5	6713007	6757048
ENSG00000112964	chr5	42423777	42721878
ENSG00000112972	chr5	43289395	43313512
ENSG00000112977	chr5	10679230	10761272
ENSG00000112983	chr5	138139766	138178986
ENSG00000112992	chr5	43602692	43707405
ENSG00000112996	chr5	44808925	44820428
ENSG00000113013	chr5	138554882	138575444
ENSG00000113048	chr5	72219409	72320646
ENSG00000113068	chr5	140245039	140303121
ENSG00000113070	chr5	140332843	140346631
ENSG00000113083	chr5	122063195	122078360
ENSG00000113108	chr5	140558268	140564781
ENSG00000113140	chr5	151661096	151687165
ENSG00000113141	chr5	140647058	140662479
ENSG00000113161	chr5	75336329	75362104
ENSG00000113163	chr5	75356345	75512138
ENSG00000113194	chr5	176447628	176510074
ENSG00000113196	chr5	154474972	154478264
ENSG00000113231	chr5	77210449	77429807
ENSG00000113240	chr5	178602664	178630615
ENSG00000113269	chr5	179911651	180072118
ENSG00000113272	chr5	157731197	157741448
ENSG00000113273	chr5	78777209	78986087
ENSG00000113282	chr5	157785743	157859175
ENSG00000113300	chr5	180494412	180578405
ENSG00000113312	chr5	160009113	160065543
ENSG00000113318	chr5	80654648	80876460
ENSG00000113319	chr5	80960672	81230156
ENSG00000113328	chr5	163437569	163446151
ENSG00000113360	chr5	31400497	31532196
ENSG00000113361	chr5	31193750	31329146
ENSG00000113369	chr5	91368724	91383359
ENSG00000113384	chr5	32124704	32174350
ENSG00000113387	chr5	32531633	32604079
ENSG00000113389	chr5	32689070	32791724
ENSG00000113391	chr5	93618069	94111699
ENSG00000113407	chr5	33440696	33469539
ENSG00000113441	chr5	96935394	97037515
ENSG00000113448	chr5	58969038	60522120
ENSG00000113456	chr5	34905264	34918989
ENSG00000113460	chr5	34915376	34925996
ENSG00000113494	chr5	35048756	35230589
ENSG00000113504	chr5	1050376	1112035
ENSG00000113552	chr5	141991749	142013041
ENSG00000113558	chr5	134148935	134177038
ENSG00000113569	chr5	37288137	37371181
ENSG00000113575	chr5	134194334	134226142
ENSG00000113578	chr5	142592178	142698070
ENSG00000113580	chr5	143277931	143435512
ENSG00000113583	chr5	133955502	133968787
ENSG00000113593	chr5	65563236	65587549
ENSG00000113594	chr5	38474963	38608354
ENSG00000113595	chr5	65589680	65625975
ENSG00000113597	chr5	65624716	65666233
ENSG00000113615	chr5	134648789	134727823
ENSG00000113621	chr5	134873803	134901525
ENSG00000113638	chr5	40512333	40755975
ENSG00000113643	chr5	168486445	168519299
ENSG00000113648	chr5	135333900	135399914
ENSG00000113649	chr5	146447311	146511961
ENSG00000113657	chr5	147390811	147510056
ENSG00000113658	chr5	136132845	136188747
ENSG00000113712	chr5	149492197	149551552
ENSG00000113716	chr5	150000046	150053142
ENSG00000113719	chr5	172834275	172952685
ENSG00000113721	chr5	150113837	150155872
ENSG00000113732	chr5	172983757	173035445
ENSG00000113734	chr5	173144442	173164387
ENSG00000113739	chr5	173314713	173329503
ENSG00000113742	chr5	173888280	173961976
ENSG00000113758	chr5	177456608	177474401
ENSG00000113761	chr5	177022696	177081189
ENSG00000113810	chr3	160399274	160434962
ENSG00000113811	chr3	53884410	53891988
ENSG00000113812	chr3	53867066	53882202
ENSG00000113838	chr3	186546073	186570543
ENSG00000113845	chr3	119498532	119525090
ENSG00000113851	chr3	3144628	3179727
ENSG00000113916	chr3	187721377	187745727
ENSG00000113924	chr3	120628173	120682571
ENSG00000113966	chr3	97764521	97801242
ENSG00000113971	chr3	132680609	132722442
ENSG00000114019	chr3	134355874	134375479
ENSG00000114021	chr3	100334701	100361635
ENSG00000114023	chr3	122384176	122412334
ENSG00000114026	chr3	9749944	9788219
ENSG00000114030	chr3	122421949	122514945
ENSG00000114054	chr3	136250306	136337896
ENSG00000114062	chr15	25333728	25439056
ENSG00000114098	chr3	138187248	138298389
ENSG00000114107	chr3	138494344	138594538
ENSG00000114115	chr3	139517434	139539829
ENSG00000114120	chr3	140941830	140979933
ENSG00000114125	chr3	141738204	141747560
ENSG00000114126	chr3	141944428	142149544
ENSG00000114127	chr3	142306607	142448062
ENSG00000114166	chr3	20040023	20154404
ENSG00000114209	chr3	167683298	167734939
ENSG00000114251	chr3	55465715	55490539
ENSG00000114268	chr3	48517684	48562015
ENSG00000114270	chr3	48564073	48595267
ENSG00000114302	chr3	48744597	48847846
ENSG00000114315	chr3	194136145	194138732
ENSG00000114316	chr3	49277831	49340712
ENSG00000114331	chr3	195274736	195443078
ENSG00000114346	chr3	172750682	172821474
ENSG00000114353	chr3	50226292	50259355
ENSG00000114354	chr3	100709331	100748966
ENSG00000114374	chrY	12701231	12860839
ENSG00000114383	chr3	50320027	50328251
ENSG00000114388	chr3	50347330	50351091
ENSG00000114391	chr3	101681091	101686782
ENSG00000114395	chr3	50350695	50358460
ENSG00000114416	chr3	180868141	180982753
ENSG00000114423	chr3	105655461	105869552
ENSG00000114439	chr3	107522936	107811324
ENSG00000114446	chr3	108160812	108222570
ENSG00000114450	chr3	179396089	179451590
ENSG00000114473	chr3	197889075	197960142
ENSG00000114480	chr3	81489699	81762161
ENSG00000114491	chr3	124730366	124749273
ENSG00000114503	chr3	196935402	196942597
ENSG00000114520	chr3	125446644	125520197
ENSG00000114529	chr3	112086335	112131004
ENSG00000114544	chr3	126006355	126101561
ENSG00000114554	chr3	126988594	127037392
ENSG00000114573	chr3	113747019	113812056
ENSG00000114626	chr3	127672935	127680920
ENSG00000114648	chr3	47282917	47346816
ENSG00000114650	chr3	47413694	47477126
ENSG00000114686	chr3	131462212	131502983
ENSG00000114698	chr3	146192339	146251179
ENSG00000114735	chr3	50569152	50596168
ENSG00000114738	chr3	50611520	50649297
ENSG00000114739	chr3	38453851	38493142
ENSG00000114742	chr3	39051998	39096671
ENSG00000114744	chr3	149738470	149752499
ENSG00000114745	chr3	39096659	39108363
ENSG00000114767	chr3	51933430	51941941
ENSG00000114770	chr3	183919934	184018015
ENSG00000114779	chr3	51968510	51983409
ENSG00000114784	chr3	40309684	40312424
ENSG00000114790	chr3	154121003	154257827
ENSG00000114796	chr3	183635568	183684477
ENSG00000114850	chr3	156540140	156555184
ENSG00000114853	chr3	42653684	42665854
ENSG00000114854	chr3	52451102	52454070
ENSG00000114857	chr3	42600614	42648741
ENSG00000114861	chr3	70952817	71583993
ENSG00000114867	chr3	184314495	184335358
ENSG00000114902	chr3	52704955	52711146
ENSG00000114904	chr3	52708449	52770949
ENSG00000114923	chr2	219627327	219641980
ENSG00000114933	chr2	205993721	206086303
ENSG00000114942	chr2	206159585	206162928
ENSG00000114948	chr2	206443539	206621130
ENSG00000114956	chr2	73926826	73958961
ENSG00000114978	chr2	74152528	74178898
ENSG00000114982	chr2	96593170	96642787
ENSG00000114988	chr2	96705929	96740064
ENSG00000114993	chr2	74425836	74442422
ENSG00000114999	chr2	112482154	112541739
ENSG00000115020	chr2	208266267	208358751
ENSG00000115042	chr2	95402721	95416616
ENSG00000115053	chr2	231453531	231483641
ENSG00000115073	chr2	97655963	97664107
ENSG00000115084	chr2	113705011	113756823
ENSG00000115091	chr2	113889960	113962596
ENSG00000115107	chr2	119223831	119265652
ENSG00000115109	chr2	120013005	120179119
ENSG00000115128	chr2	24067584	24076443
ENSG00000115129	chr2	24077433	24085861
ENSG00000115145	chr2	152116801	152175992
ENSG00000115159	chr2	156435290	156613735
ENSG00000115170	chr2	157736444	157875862
ENSG00000115183	chr2	158968671	159232659
ENSG00000115204	chr2	27309492	27325680
ENSG00000115207	chr2	27325849	27357034
ENSG00000115211	chr2	27364352	27370486
ENSG00000115216	chr2	27427790	27442259
ENSG00000115221	chr2	160099666	160200313
ENSG00000115226	chr2	27491883	27495245
ENSG00000115232	chr2	181457202	181536187
ENSG00000115233	chr2	161308038	161411717
ENSG00000115234	chr2	27370496	27377533
ENSG00000115241	chr2	27381194	27409687
ENSG00000115266	chr19	1446302	1473244
ENSG00000115268	chr19	1438358	1440494
ENSG00000115275	chr2	74461057	74465410
ENSG00000115282	chr2	74483073	74494886
ENSG00000115286	chr19	1383527	1395589
ENSG00000115289	chr2	74505043	74508580
ENSG00000115295	chr2	29097705	29189643
ENSG00000115306	chr2	54456285	54671445
ENSG00000115307	chr2	74526645	74529939
ENSG00000115310	chr2	54972187	55112621
ENSG00000115317	chr2	74529377	74533348
ENSG00000115318	chr2	74532414	74555690
ENSG00000115325	chr2	74549026	74557554
ENSG00000115350	chr2	74958492	74970128
ENSG00000115355	chr2	55287842	55419895
ENSG00000115363	chr2	75469302	75569722
ENSG00000115364	chr2	75646783	75690851
ENSG00000115365	chr2	210431249	210477652
ENSG00000115368	chr2	189441433	189475565
ENSG00000115414	chr2	215360440	215436172
ENSG00000115415	chr2	190964358	191020960
ENSG00000115419	chr2	190880827	190965552
ENSG00000115421	chr2	60756230	60802085
ENSG00000115446	chr2	98608579	98618515
ENSG00000115457	chr2	216632828	216664436
ENSG00000115459	chr2	85354394	85391752
ENSG00000115461	chr2	216672105	216695525
ENSG00000115464	chr2	61187463	61470769
ENSG00000115468	chr2	232606057	232682781
ENSG00000115484	chr2	61868089	61888804
ENSG00000115486	chr2	85544723	85561547
ENSG00000115504	chr2	62673851	63046487
ENSG00000115514	chr2	99318982	99340702
ENSG00000115520	chr2	197453423	197475308
ENSG00000115524	chr2	197389784	197435091
ENSG00000115525	chr2	85837120	85905199
ENSG00000115526	chr2	100391860	100417656
ENSG00000115539	chr2	100562690	100576735
ENSG00000115540	chr2	197515571	197553699
ENSG00000115541	chr2	197499994	197503457
ENSG00000115548	chr2	86440647	86492716
ENSG00000115561	chr2	86503431	86563479
ENSG00000115568	chr2	218637916	218659655
ENSG00000115594	chr2	102064544	102179874
ENSG00000115602	chr2	102311502	102352037
ENSG00000115604	chr2	102311529	102398775
ENSG00000115641	chr2	105357712	105438513
ENSG00000115648	chr2	237485428	237555318
ENSG00000115649	chr2	219171897	219178106
ENSG00000115652	chr2	106093303	106194339
ENSG00000115661	chr2	219245455	219250337
ENSG00000115677	chr2	241227264	241317061
ENSG00000115685	chr2	241149576	241183652
ENSG00000115694	chr2	241492674	241509730
ENSG00000115738	chr2	8678845	8684453
ENSG00000115750	chr2	9843354	9934416
ENSG00000115756	chr2	10302889	10427617
ENSG00000115758	chr2	10439968	10448504
ENSG00000115760	chr2	32357028	32618899
ENSG00000115761	chr2	10570766	10689987
ENSG00000115762	chr2	131104847	131353709
ENSG00000115806	chr2	170928464	170967129
ENSG00000115808	chr2	36843640	36966472
ENSG00000115816	chr2	37201612	37231713
ENSG00000115825	chr2	37250502	37324808
ENSG00000115827	chr2	171434217	171485052
ENSG00000115839	chr2	135052265	135176394
ENSG00000115840	chr2	171784370	171999859
ENSG00000115841	chr2	37923187	38067142
ENSG00000115866	chr2	135906677	135986100
ENSG00000115875	chr2	38743599	38751494
ENSG00000115884	chr2	20200797	20225433
ENSG00000115902	chr2	64988477	65023865
ENSG00000115904	chr2	38981396	39124345
ENSG00000115935	chr2	174559572	174682916
ENSG00000115942	chr2	200908973	200963680
ENSG00000115944	chr2	42333546	42425088
ENSG00000115946	chr2	68157844	68176238
ENSG00000115947	chr2	147930397	148021604
ENSG00000115963	chr2	150468195	150539011
ENSG00000115966	chr2	175072250	175168382
ENSG00000115970	chr2	43230836	43596046
ENSG00000115977	chr2	69457997	69674349
ENSG00000115993	chr2	201377207	201451579
ENSG00000115998	chr2	70149880	70248615
ENSG00000116001	chr2	70209444	70248660
ENSG00000116005	chr2	70257386	70281191
ENSG00000116016	chr2	46293667	46386703
ENSG00000116017	chr19	925781	975934
ENSG00000116030	chr2	202206180	202238608
ENSG00000116044	chr2	177227595	177392697
ENSG00000116062	chr2	47695530	47810101
ENSG00000116095	chr2	178480468	178516462
ENSG00000116096	chr2	72887360	72892158
ENSG00000116106	chr2	221418027	221574202
ENSG00000116117	chr2	204545793	205620162
ENSG00000116120	chr2	222570536	222656337
ENSG00000116127	chr2	73385758	73610793
ENSG00000116128	chr1	147541412	147626216
ENSG00000116133	chr1	54849633	54887218
ENSG00000116138	chr1	15526813	15592379
ENSG00000116157	chr1	52602372	52609051
ENSG00000116161	chr1	174999163	175011715
ENSG00000116171	chr1	52927229	53051703
ENSG00000116191	chr1	178725147	178921841
ENSG00000116194	chr1	178849705	178871052
ENSG00000116198	chr1	3812081	3857214
ENSG00000116199	chr1	179025804	179076562
ENSG00000116205	chr1	54053587	54112519
ENSG00000116209	chr1	54026681	54053504
ENSG00000116212	chr1	53946077	53968168
ENSG00000116213	chr1	3630767	3652761
ENSG00000116221	chr1	54184041	54225464
ENSG00000116237	chr1	6221193	6235972
ENSG00000116251	chr1	6181269	6209389
ENSG00000116260	chr1	180154834	180204030
ENSG00000116266	chr1	108746674	108809526
ENSG00000116273	chr1	6613685	6624033
ENSG00000116285	chr1	8004404	8026308
ENSG00000116288	chr1	7954291	7985505
ENSG00000116299	chr1	109113679	109206781
ENSG00000116337	chr1	109616104	109632051
ENSG00000116350	chr1	29147743	29181987
ENSG00000116353	chr1	29192873	29230942
ENSG00000116396	chr1	110211343	110283100
ENSG00000116406	chr1	184690231	184754913
ENSG00000116455	chr1	111439890	111449376
ENSG00000116459	chr1	111448864	111462773
ENSG00000116473	chr1	111542218	111716691
ENSG00000116478	chr1	32292086	32333635
ENSG00000116489	chr1	112619173	112671619
ENSG00000116497	chr1	32816767	32858879
ENSG00000116514	chr1	32936445	32964685
ENSG00000116521	chr1	155255979	155262430
ENSG00000116525	chr1	33145402	33182059
ENSG00000116539	chr1	155335268	155562807
ENSG00000116560	chr1	35176378	35193148
ENSG00000116574	chr1	228735077	228746669
ENSG00000116580	chr1	155749662	155859400
ENSG00000116584	chr1	155946851	156007070
ENSG00000116586	chr1	156054752	156058510
ENSG00000116604	chr1	156463727	156500828
ENSG00000116641	chr1	62454298	62688368
ENSG00000116649	chr1	11054584	11060024
ENSG00000116661	chr1	11637018	11655785
ENSG00000116667	chr1	184387058	184629020
ENSG00000116668	chr1	185157080	185291765
ENSG00000116670	chr1	11674480	11691650
ENSG00000116679	chr1	185296388	185317329
ENSG00000116685	chr1	11919591	11926428
ENSG00000116688	chr1	11980181	12013514
ENSG00000116691	chr1	12019466	12032045
ENSG00000116698	chr1	183472216	183598246
ENSG00000116704	chr1	66999332	67054099
ENSG00000116711	chr1	186828953	186988981
ENSG00000116717	chr1	67685061	67688338
ENSG00000116729	chr1	68098473	68233120
ENSG00000116731	chr1	13700198	13825079
ENSG00000116741	chr1	192809039	192812283
ENSG00000116747	chr1	193059422	193091777
ENSG00000116750	chr1	193012250	193060080
ENSG00000116752	chr1	114567557	114581639
ENSG00000116754	chr1	70205682	70253052
ENSG00000116761	chr1	70411218	70439851
ENSG00000116774	chr1	113979391	114035572
ENSG00000116786	chr1	15684332	15734769
ENSG00000116791	chr1	74705482	74733408
ENSG00000116793	chr1	113696831	113759489
ENSG00000116809	chr1	15941869	15976132
ENSG00000116815	chr1	116514535	116571039
ENSG00000116830	chr1	117060303	117107453
ENSG00000116852	chr1	200969390	201023700
ENSG00000116857	chr1	201134772	201171574
ENSG00000116863	chr1	36088875	36093932
ENSG00000116871	chr1	36155579	36180849
ENSG00000116874	chr1	119031216	119140671
ENSG00000116898	chr1	36455718	36464437
ENSG00000116903	chr1	231332753	231337852
ENSG00000116906	chr1	231241207	231277973
ENSG00000116918	chr1	231528653	231566524
ENSG00000116922	chr1	37681570	37692249
ENSG00000116954	chr1	38838198	38859823
ENSG00000116962	chr1	235975830	236065162
ENSG00000116977	chr1	236518000	236552981
ENSG00000116984	chr1	236795281	236903981
ENSG00000116991	chr1	232397965	232561558
ENSG00000117000	chr1	40161373	40240921
ENSG00000117020	chr1	243488233	243851079
ENSG00000117036	chr1	157121191	157138474
ENSG00000117054	chr1	75724347	75787575
ENSG00000117069	chr1	76867441	77065711
ENSG00000117114	chr1	81306160	81992436
ENSG00000117118	chr1	17018722	17054170
ENSG00000117122	chr1	16974502	16980835
ENSG00000117133	chr1	84479259	84497790
ENSG00000117139	chr1	202724491	202809470
ENSG00000117143	chr1	162561506	162599842
ENSG00000117151	chr1	84549606	84574480
ENSG00000117152	chr1	163068775	163076802
ENSG00000117153	chr1	202891100	202928636
ENSG00000117155	chr1	84643707	84690803
ENSG00000117174	chr1	85649423	85708433
ENSG00000117222	chr1	205086142	205122015
ENSG00000117226	chr1	89006666	89022894
ENSG00000117228	chr1	89052319	89065360
ENSG00000117242	chr1	20642657	20652193
ENSG00000117245	chr1	20664014	20718017
ENSG00000117280	chr1	205767986	205775460
ENSG00000117298	chr1	21217247	21345504
ENSG00000117305	chr1	23801885	23838620
ENSG00000117308	chr1	23795599	23800804
ENSG00000117318	chr1	23557918	23559794
ENSG00000117335	chr1	207752057	207795513
ENSG00000117360	chr1	150321476	150353195
ENSG00000117362	chr1	150265399	150269580
ENSG00000117385	chr1	42746335	42767084
ENSG00000117394	chr1	42925375	42959176
ENSG00000117395	chr1	43164175	43270936
ENSG00000117408	chr1	43946939	43968022
ENSG00000117410	chr1	43974487	43978295
ENSG00000117411	chr1	43978943	43991170
ENSG00000117419	chr1	44221070	44355260
ENSG00000117448	chr1	45550543	45570049
ENSG00000117450	chr1	45511036	45523047
ENSG00000117461	chr1	46040140	46133036
ENSG00000117475	chr1	169367970	169396540
ENSG00000117479	chr1	169463909	169486003
ENSG00000117481	chr1	46340177	46365152
ENSG00000117500	chr1	93149742	93180728
ENSG00000117505	chr1	93345888	93369498
ENSG00000117519	chr1	94896949	94927278
ENSG00000117523	chr1	171485551	171593511
ENSG00000117525	chr1	94529225	94541800
ENSG00000117528	chr1	94418455	94518666
ENSG00000117533	chr1	171700160	171742247
ENSG00000117543	chr1	100989623	101026088
ENSG00000117569	chr1	96721665	96823738
ENSG00000117586	chr1	173183734	173207313
ENSG00000117592	chr1	173477266	173488807
ENSG00000117593	chr1	173824503	173858546
ENSG00000117597	chr1	209828007	209857565
ENSG00000117602	chr1	24502351	24541040
ENSG00000117614	chr1	25222679	25232502
ENSG00000117616	chr1	25242237	25338213
ENSG00000117620	chr1	99969351	100035637
ENSG00000117625	chr1	211258377	211316385
ENSG00000117632	chr1	25884181	25906991
ENSG00000117640	chr1	25818640	25832942
ENSG00000117643	chr1	25617468	25786207
ENSG00000117682	chr1	26432282	26471294
ENSG00000117691	chr1	212432887	212446379
ENSG00000117697	chr1	212726153	212791782
ENSG00000117713	chr1	26693236	26782110
ENSG00000117748	chr1	27891524	27914746
ENSG00000117751	chr1	27830778	27851676
ENSG00000117758	chr1	27773183	27824452
ENSG00000117859	chr1	51577179	51798427
ENSG00000117862	chr1	52020131	52056171
ENSG00000117868	chr7	158730995	158830253
ENSG00000117899	chr15	80946289	80989878
ENSG00000117906	chr15	76931619	76954392
ENSG00000117984	chr11	1752752	1764573
ENSG00000118007	chr3	136336233	136752403
ENSG00000118046	chr19	1177558	1228435
ENSG00000118058	chr11	118436490	118526832
ENSG00000118096	chr11	118544528	118572970
ENSG00000118181	chr11	119015712	119018691
ENSG00000118194	chr1	201359008	201377762
ENSG00000118197	chr1	200623896	200669969
ENSG00000118200	chr1	200739558	200860704
ENSG00000118217	chr1	161766294	161964070
ENSG00000118242	chr2	215942805	216034096
ENSG00000118246	chr2	206765357	206792509
ENSG00000118257	chr2	205681990	205798133
ENSG00000118260	chr2	207529737	207603431
ENSG00000118263	chr2	207074137	207167267
ENSG00000118276	chr18	31622247	31685836
ENSG00000118363	chr11	74949247	74979031
ENSG00000118369	chr11	78188812	78214711
ENSG00000118407	chr6	75291859	75493738
ENSG00000118412	chr6	89829894	89874436
ENSG00000118418	chr6	79201245	79234738
ENSG00000118454	chr1	70260588	70354734
ENSG00000118482	chr6	63635820	63779336
ENSG00000118495	chr6	143940300	144064599
ENSG00000118496	chr6	145793502	145814753
ENSG00000118503	chr6	137867188	137883312
ENSG00000118508	chr6	146543693	146554965
ENSG00000118515	chr6	134169246	134318112
ENSG00000118518	chr6	127266610	127288567
ENSG00000118523	chr6	131948176	131951373
ENSG00000118564	chr4	15604539	15681679
ENSG00000118579	chr4	17614631	17634105
ENSG00000118596	chr12	59596067	59789855
ENSG00000118600	chr12	63779803	63809558
ENSG00000118620	chr19	21020620	21060050
ENSG00000118640	chr2	85561562	85582031
ENSG00000118655	chr1	113905141	113914086
ENSG00000118680	chr18	3261909	3278284
ENSG00000118689	chr6	108559835	108684774
ENSG00000118705	chr20	37178410	37241623
ENSG00000118707	chr20	36573488	36593950
ENSG00000118762	chr4	88007668	88077777
ENSG00000118816	chr4	77047158	77076005
ENSG00000118855	chr3	158732198	158829719
ENSG00000118873	chr1	220148293	220272454
ENSG00000118894	chr16	5084304	5097808
ENSG00000118900	chr16	4846665	4882360
ENSG00000118922	chr13	73686089	73995056
ENSG00000118960	chr2	20560448	20651089
ENSG00000118961	chr2	20684014	20823130
ENSG00000118965	chr2	19910260	19990131
ENSG00000118971	chr12	4273772	4305350
ENSG00000118985	chr5	95885098	95962071
ENSG00000119004	chr2	203238940	203305611
ENSG00000119013	chr2	201071433	201085750
ENSG00000119041	chr2	196763032	196799725
ENSG00000119042	chr2	199269500	199471266
ENSG00000119048	chr5	134371179	134391992
ENSG00000119138	chr9	70384597	70414624
ENSG00000119185	chr2	9403475	9423547
ENSG00000119203	chr2	9423568	9473101
ENSG00000119231	chr3	196867856	196934714
ENSG00000119242	chr12	123918660	123972831
ENSG00000119280	chr1	230837119	230869589
ENSG00000119285	chr1	236549005	236604504
ENSG00000119314	chr9	112217716	112333667
ENSG00000119318	chr9	107283137	107332194
ENSG00000119321	chr9	113161006	113221361
ENSG00000119326	chr9	108942569	109013529
ENSG00000119328	chr9	108934181	108950744
ENSG00000119333	chr9	128633661	128656787
ENSG00000119335	chr9	128683424	128696400
ENSG00000119383	chr9	129110950	129148946
ENSG00000119392	chr9	128504700	128542288
ENSG00000119396	chr9	121178137	121223014
ENSG00000119401	chr9	116687302	116701300
ENSG00000119402	chr9	120751978	120793412
ENSG00000119403	chr9	120855652	120894896
ENSG00000119408	chr9	124257606	124353307
ENSG00000119414	chr9	125146573	125189939
ENSG00000119421	chr9	122144058	122159819
ENSG00000119431	chr9	113373419	113376999
ENSG00000119446	chr9	122237624	122264839
ENSG00000119471	chr9	112379937	112472410
ENSG00000119487	chr9	125437393	125707234
ENSG00000119509	chr9	100099256	100301000
ENSG00000119522	chr9	123379654	123930152
ENSG00000119523	chr9	99216426	99221956
ENSG00000119537	chr18	63327726	63367510
ENSG00000119541	chr18	63389190	63422483
ENSG00000119559	chr19	1461143	1479556
ENSG00000119574	chr19	58513530	58538911
ENSG00000119596	chr14	74763366	74859435
ENSG00000119599	chr14	72926332	72959703
ENSG00000119616	chr14	74713144	74738620
ENSG00000119632	chr14	94127779	94130253
ENSG00000119636	chr14	74019353	74082863
ENSG00000119638	chr14	75079353	75127344
ENSG00000119650	chr14	75902136	76084585
ENSG00000119655	chr14	74476192	74494177
ENSG00000119661	chr14	73644875	73703732
ENSG00000119669	chr14	77024543	77028699
ENSG00000119673	chr14	73567620	73575658
ENSG00000119681	chr14	74498170	74612378
ENSG00000119682	chr14	74653437	74713115
ENSG00000119684	chr14	75013764	75051532
ENSG00000119685	chr14	75633625	75955078
ENSG00000119686	chr14	75578617	75663214
ENSG00000119688	chr14	74285423	74303056
ENSG00000119689	chr14	74881891	74903745
ENSG00000119699	chr14	75958099	75982991
ENSG00000119705	chr14	77708071	77761104
ENSG00000119707	chr14	73058436	73123898
ENSG00000119711	chr14	74056850	74084493
ENSG00000119714	chr14	91232532	91253925
ENSG00000119718	chr14	75002911	75012366
ENSG00000119720	chr14	90267856	90332137
ENSG00000119723	chr14	73949926	73963670
ENSG00000119729	chr2	46541806	46583121
ENSG00000119760	chr2	27650812	27663840
ENSG00000119771	chr2	23385217	23708611
ENSG00000119772	chr2	25227855	25342590
ENSG00000119777	chr2	27032910	27041695
ENSG00000119778	chr2	23748664	23927114
ENSG00000119787	chr2	38294880	38377285
ENSG00000119801	chr2	30146941	30160533
ENSG00000119812	chr2	33583658	33599382
ENSG00000119820	chr2	32277910	32316594
ENSG00000119844	chr2	64524305	64593005
ENSG00000119862	chr2	64453969	64461381
ENSG00000119865	chr2	68284171	68320051
ENSG00000119866	chr2	60450520	60555154
ENSG00000119878	chr2	46616416	46625742
ENSG00000119899	chr6	73593379	73654155
ENSG00000119900	chr6	71288803	71308950
ENSG00000119906	chr10	100912569	100965136
ENSG00000119912	chr10	92451684	92574076
ENSG00000119927	chr10	112149864	112215377
ENSG00000119929	chr10	99702558	99756134
ENSG00000119938	chr10	91628442	91633054
ENSG00000119943	chr10	98383565	98415184
ENSG00000119950	chr10	110207605	110287365
ENSG00000119953	chr10	110290730	110304951
ENSG00000119965	chr10	122930903	122954403
ENSG00000119977	chr10	95663396	95694143
ENSG00000119979	chr10	119104086	119137984
ENSG00000119986	chr10	97677424	97687323
ENSG00000120008	chr10	120851175	120909524
ENSG00000120029	chr10	101845599	102056193
ENSG00000120053	chr10	99396870	99430624
ENSG00000120057	chr10	97766751	97771952
ENSG00000120063	chr17	65010715	65056839
ENSG00000120068	chr17	48611377	48614939
ENSG00000120071	chr17	46029916	46225389
ENSG00000120075	chr17	48591257	48593961
ENSG00000120093	chr17	48548870	48604912
ENSG00000120129	chr5	172768090	172771195
ENSG00000120137	chr5	168548495	168579600
ENSG00000120149	chr5	174724533	174730893
ENSG00000120158	chr9	4792869	4885917
ENSG00000120159	chr9	26840685	26892804
ENSG00000120162	chr9	27325209	27529781
ENSG00000120253	chr6	149724315	149749665
ENSG00000120254	chr6	150865549	151101887
ENSG00000120256	chr6	149818798	149864026
ENSG00000120265	chr6	149749443	149811420
ENSG00000120306	chr5	140174642	140282052
ENSG00000120314	chr5	140664676	140674124
ENSG00000120318	chr5	141653401	141682221
ENSG00000120333	chr1	175010789	175023425
ENSG00000120334	chr1	173799550	173824720
ENSG00000120370	chr1	170532129	170553446
ENSG00000120437	chr6	159760328	159779055
ENSG00000120438	chr6	159778498	159789749
ENSG00000120451	chr11	130875436	130916509
ENSG00000120458	chr11	124766498	124800673
ENSG00000120509	chrX	70286595	70290514
ENSG00000120519	chr4	146253975	146521964
ENSG00000120526	chr8	109240919	109334385
ENSG00000120533	chr8	109334324	109345953
ENSG00000120539	chr10	27154824	27186924
ENSG00000120549	chr10	23694746	24547848
ENSG00000120594	chr10	19816239	20289856
ENSG00000120616	chr10	32267751	32378798
ENSG00000120647	chr12	389273	442645
ENSG00000120656	chr1	28589323	28643085
ENSG00000120662	chr13	41216369	41263577
ENSG00000120675	chr13	43023203	43114224
ENSG00000120685	chr13	39009866	39038076
ENSG00000120686	chr13	38349849	38363619
ENSG00000120688	chr13	41061274	41084006
ENSG00000120690	chr13	40932028	41061440
